Band Pass, Blackman
37, -0.0007865748
38, -0.0004554928
39, 7.444218E-05
40, 4.83897E-10
41, -5.197697E-05
42, 0.0002215866
43, 0.0002654495
44, -0.0001056797
45, -0.0003261786
46, -8.974555E-05
47, 0.0001967665
48, 0.0001550427
49, -4.365539E-05
50, -9.61777E-05
51, -1.823384E-05
52, 2.515656E-05
53, 1.021766E-05
54, -8.66428E-07
55, 1.219615E-10
Band Reject, Blackman
-55, 1.219615E-10
-54, -8.66428E-07
-53, 1.021766E-05
-52, 2.515656E-05
-51, -1.823384E-05
-50, -9.61777E-05
-49, -4.365539E-05
-48, 0.0001550427
-47, 0.0001967665
-46, -8.974555E-05
-45, -0.0003261786
-44, -0.0001056797
-43, 0.0002654495
-42, 0.0002215866
-41, -5.197697E-05
-40, 4.83897E-10
-39, 7.444218E-05
-38, -0.0004554928
-37, -0.0007865748
-36, 0.0004545379
-35, 0.002056627
-34, 0.0008409765
-33, -0.002791928
-32, -0.003417029
-31, 0.001548264
-30, 0.005773784
-29, 0.001999213
-28, -0.005700425
-27, -0.006023637
-26, 0.002350351
-25, 0.007461783
-24, 0.002146937
-23, -0.004853825
-22, -0.003687957
-21, 0.0007949639
-20, -3.429166E-09
-19, -0.0009850806
-18, 0.005666499
-17, 0.009259291
-16, -0.005094982
-15, -0.02208912
-14, -0.008710135
-13, 0.02807119
-12, 0.03359235
-11, -0.01500084
-10, -0.05563165
-9, -0.01935884
-8, 0.05618034
-7, 0.06138233
-6, -0.02527524
-5, -0.08706479
-4, -0.02829528
-3, 0.07700714
-2, 0.07915266
-1, -0.03073363
0, 0.9
1, -0.03073363
2, 0.07915266
3, 0.07700714
4, -0.02829528
5, -0.08706479
6, -0.02527524
7, 0.06138233
8, 0.05618034
9, -0.01935884
10, -0.05563165
11, -0.01500084
12, 0.03359235
13, 0.02807119
14, -0.008710135
15, -0.02208912
16, -0.005094982
17, 0.009259291
18, 0.005666499
19, -0.0009850806
20, -3.429166E-09
21, 0.0007949639
22, -0.003687957
23, -0.004853825
24, 0.002146937
25, 0.007461783
26, 0.002350351
27, -0.006023637
28, -0.005700425
29, 0.001999213
30, 0.005773784
31, 0.001548264
32, -0.003417029
33, -0.002791928
34, 0.0008409765
35, 0.002056627
36, 0.0004545379
37, -0.0007865748
38, -0.0004554928
39, 7.444218E-05
40, 4.83897E-10
41, -5.197697E-05
42, 0.0002215866
43, 0.0002654495
44, -0.0001056797
45, -0.0003261786
46, -8.974555E-05
47, 0.0001967665
48, 0.0001550427
49, -4.365539E-05
50, -9.61777E-05
51, -1.823384E-05
52, 2.515656E-05
53, 1.021766E-05
54, -8.66428E-07
55, 1.219615E-10
HighPass, Blackman
-44, -7.622589E-11
-43, 3.337152E-06
-42, 5.361773E-06
-41, -1.810322E-05
-40, -6.011111E-05
-39, -5.434579E-05
-38, 5.633109E-05
-37, 0.0002059782
-36, 0.0002038617
-35, -7.499447E-05
-34, -0.0004628334
-33, -0.0005329119
-32, 9.889386E-19
-31, 0.0008351678
-30, 0.001141485
-29, 0.0002936311
-28, -0.001285392
-27, -0.002136884
-26, -0.0009924551
-25, 0.001704395
-24, 0.003608615
-23, 0.002346211
